kinder_nm,estab_gbn,open_dt,appr_cap,age3_cnt,age4_cnt,age5_cnt,mix_cnt,spec_cnt,lon,lat
신양유치원,사립(사인),19950315,164,25,34,48,11,0,127.122773941994,37.3629676449281
신흥동성당부설성모유치원,사립(법인),20100301,66,16,20,21,0,0,127.143291004811,37.4489166175834
아름다운유치원,사립(사인),19921102,230,32,44,52,0,0,127.125456073539,37.367661277469
아리솔유치원,사립(사인),20110425,128,0,16,16,7,0,127.11336103873,37.4059000382189
아이비유치원,사립(사인),20100301,120,18,38,45,0,0,127.153129531799,37.4506554308524
예원유치원,사립(사인),19810310,520,37,64,84,0,0,127.143004911934,37.4349008678327
예은유치원,사립(사인),19951223,60,14,11,19,0,0,127.120471353936,37.3655427389899
오리초등학교병설유치원,공립(병설),19980301,22,0,0,0,4,4,127.115380422936,37.3443555011277
오즈의마법사판교유치원,사립(사인),20151001,142,54,44,26,0,0,127.11223268482,37.389334980842
왕남초등학교병설유치원,공립(병설),19810310,44,0,8,10,0,0,127.098357514175,37.4283634064812
운중초등학교병설유치원,공립(병설),20090301,20,0,0,0,6,0,127.068937814535,37.3924192244487
위례고운초등학교병설유치원,공립(병설),20160308,58,11,13,23,0,0,127.1457938655,37.4714370828
위례새초롱유치원,공립(단설),20160902,134,41,35,41,0,4,127.1478660002,37.4697117771
위례중앙초등학교병설유치원,공립(병설),20161028,38,0,0,6,3,0,127.1359462234,37.4719714084
위례푸른초등학교병설유치원,공립(병설),20160308,56,13,19,21,0,0,127.150993518642,37.4706964746096
위례하늘유치원,공립(단설),20170901,302,84,93,91,0,8,127.151134366,37.467037048
위례한빛초등학교병설유치원,공립(병설),20160308,58,8,10,23,0,0,127.119588432247,37.3866358080502
은서유치원,사립(사인),19970417,130,30,40,35,0,0,127.134974491237,37.44360251565
은솔유치원,공립(단설),20160309,96,24,37,23,0,4,127.138154793954,37.4677987217147
은정유치원,사립(사인),19940207,198,57,62,52,0,0,127.12987558675,37.4145696729993
은혜유치원,사립(사인),20051206,152,23,19,24,0,0,127.11194773047,37.3609090192552
이매유치원,사립(사인),19940221,80,9,13,9,0,0,127.122658078916,37.3980904385875
중부초등학교병설유치원,공립(병설),20000301,18,0,0,0,8,0,127.164950839986,37.4515467377665
즐거운유치원,사립(사인),19940831,128,28,33,43,0,0,127.111552032793,37.3526501503268
진영유치원,사립(사인),19930501,90,17,15,17,0,0,127.132352026929,37.3715843687533
창은유치원,사립(사인),19960301,80,16,21,26,13,0,127.114672326718,37.374236739352
판교반디유치원,공립(단설),20210906,260,83,74,92,0,6,127.06977404078,37.3670903891975
판교샘유치원,사립(사인),20101005,115,29,27,44,0,0,127.071418908058,37.392181265797
판교초등학교병설유치원,공립(병설),20110301,18,0,0,0,6,0,127.091440068009,37.3872774331498
하나유치원,사립(사인),19930119,132,36,46,50,0,0,127.118996555359,37.3769134265284
하원초등학교병설유치원,공립(병설),19870310,58,8,15,24,0,0,127.169288708841,37.4462976560797
하은유치원,사립(사인),19930301,60,18,17,10,0,0,127.124099400599,37.3908461502147
한국유치원,사립(사인),19970302,360,60,33,48,0,0,127.136421402399,37.4114910567893
한별유치원,사립(사인),19951223,87,13,22,27,16,0,127.106814557143,37.3550961766685
한솔유치원,사립(사인),20131115,157,30,28,30,0,0,127.117057755101,37.3672542768571
한울유치원,사립(사인),19950901,120,35,22,29,0,0,127.115787240728,37.3349959318356
해나유치원,사립(사인),20110126,80,36,22,22,0,0,127.09793166293,37.3905185028623
현대유치원,사립(사인),19920302,270,54,44,53,0,0,127.128604712311,37.3788314798844
혜성유치원,사립(법인),19850313,100,32,20,41,0,0,127.16025386157,37.4445125542192
홍하유치원,사립(사인),20100315,174,32,22,22,0,0,127.131752965005,37.3817771194266
효자유치원,사립(사인),19970302,150,8,33,26,0,0,127.133711646987,37.3750381729273
희망대초등학교병설유치원,공립(병설),19850301,38,0,0,12,2,0,127.148288885626,37.4475368063339
희소유치원,사립(사인),19960322,240,34,45,44,0,0,127.114122874517,37.3394037015815
희언유치원,사립(사인),19940908,220,49,53,56,0,0,127.113967014439,37.3648853137757
